OutfitId,OutfitSet,OutfitUrl
18481894,"['黑色outerwear', '灰色top', '灰色top', '灰色pants']",https://wear.tw/genji/18481894/
18450625,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/18450625/
18450622,"['橙色outerwear', '橘色top', '白色top', '橙色pants']",https://wear.tw/genji/18450622/
18450616,"['藍色outerwear', '橘色top', '白色top']",https://wear.tw/genji/18450616/
18437307,"['白色top', '白色top', '黑色pants']",https://wear.tw/genji/18437307/
18437223,"['黑色outerwear', '白色top', '橘色outerwear']",https://wear.tw/genji/18437223/
18437173,"['藍色outerwear', '橙色top', '白色top', '白色pants']",https://wear.tw/genji/18437173/
18416506,"['黑色outerwear', '白色top', '橙色top', '黑色pants']",https://wear.tw/genji/18416506/
18416505,"['灰色outerwear', '橙色outerwear', '灰色pants']",https://wear.tw/genji/18416505/
18416490,"['黑色outerwear', '黑色top', '白色top', '黑色outerwear']",https://wear.tw/genji/18416490/
18364856,"['橙色outerwear', '橙色top', '橙色pants']",https://wear.tw/genji/18364856/
18331433,"['藍色outerwear', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/18331433/
18364851,"['黑色outerwear', '黑色top', '黑色pants']",https://wear.tw/genji/18364851/
18331417,"['橘色outerwear', '灰色top', '白色top']",https://wear.tw/genji/18331417/
18331408,"['藍色outerwear', '橙色top', '白色top', '黑色pants']",https://wear.tw/genji/18331408/
18331410,"['橙色outerwear', '白色top', '白色top']",https://wear.tw/genji/18331410/
18331144,"['黑色outerwear', '橙色top', '灰色top', '黑色pants']",https://wear.tw/genji/18331144/
18331056,"['綠色outerwear', '藍色top', '白色top', '白色pants']",https://wear.tw/genji/18331056/
18330820,"['橘色outerwear', '白色top', '白色top', '白色pants']",https://wear.tw/genji/18330820/
18330770,"['橘色outerwear', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/18330770/
18294003,"['黑色outerwear', '綠色top', '白色top', '黑色outerwear']",https://wear.tw/genji/18294003/
18294000,"['黑色outerwear', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/18294000/
18293999,"['橙色outerwear', '白色top', '黑色outerwear']",https://wear.tw/genji/18293999/
18293998,"['藍色outerwear', '藍色top', '白色top', '黑色outerwear']",https://wear.tw/genji/18293998/
18293996,"['黑色outerwear', '綠色top', '白色pants']",https://wear.tw/genji/18293996/
18293992,"['藍色outerwear', '藍色top', '白色top', '白色pants']",https://wear.tw/genji/18293992/
18293988,"['灰色top', '白色top', '黑色pants']",https://wear.tw/genji/18293988/
18293981,"['橘色outerwear', '白色top', '白色top']",https://wear.tw/genji/18293981/
18293978,"['黑色outerwear', '灰色top', '黑色pants']",https://wear.tw/genji/18293978/
18293977,"['橘色outerwear', '橙色top', '白色top', '白色pants']",https://wear.tw/genji/18293977/
18254811,"['黑色outerwear', '綠色top', '白色top', '白色pants']",https://wear.tw/genji/18254811/
18254567,"['綠色outerwear', '橘色top', '白色pants']",https://wear.tw/genji/18254567/
18254506,"['橘色outerwear', '橘色top', '白色top']",https://wear.tw/genji/18254506/
18254414,"['黑色outerwear', '橙色top', '灰色top', '藍色pants']",https://wear.tw/genji/18254414/
18254285,"['黑色outerwear', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/18254285/
18254229,"['黑色outerwear', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/18254229/
18242874,"['黑色top', '黑色top', '灰色top', '黑色pants']",https://wear.tw/genji/18242874/
18222032,"['白色outerwear', '灰色top', '白色top', '綠色pants']",https://wear.tw/genji/18222032/
18221939,"['黑色outerwear', '黑色top', '灰色top', '灰色pants']",https://wear.tw/genji/18221939/
18221622,"['黑色outerwear', '白色top', '白色top', '橘色outerwear']",https://wear.tw/genji/18221622/
18173737,"['橘色outerwear', '灰色top', '白色top', '橘色outerwear']",https://wear.tw/genji/18173737/
18173666,"['黑色outerwear', '綠色top', '白色top', '橘色pants']",https://wear.tw/genji/18173666/
18173619,"['橙色outerwear', '橙色top', '白色top', '白色pants']",https://wear.tw/genji/18173619/
18173434,"['橘色outerwear', '橙色top', '白色top', '黑色pants']",https://wear.tw/genji/18173434/
18173360,"['橙色outerwear', '灰色top', '白色pants']",https://wear.tw/genji/18173360/
18153239,"['橘色outerwear', '橙色top', '白色top', '橘色pants']",https://wear.tw/genji/18153239/
18153235,"['灰色outerwear', '白色top', '黑色pants']",https://wear.tw/genji/18153235/
18153227,"['黑色outerwear', '橘色top', '白色top', '橙色pants']",https://wear.tw/genji/18153227/
18153217,"['橙色outerwear', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/18153217/
